fsm, mapping, replan, sfc, mpc, df, total, 
3.321e-06, 0, 0, 0, 0.000409922, 2.593e-06, 0.000416329, 
2.999e-06, 0, 0, 0, 0.00037956, 1.3685e-05, 0.000396548, 
3.068e-06, 0, 0, 0, 0.000364433, 3.212e-06, 0.00037104, 
4.833e-06, 0, 0, 0, 0.000707045, 7.358e-06, 0.000720097, 
2.025e-06, 0, 0, 0, 0.000331881, 1.965e-06, 0.000336101, 
2.428e-06, 0, 0, 0, 0.000395149, 2.111e-06, 0.000399986, 
2.215e-06, 0.0236796, 0, 0, 0.000392494, 2.564e-06, 0.000397536, 
2.904e-06, 0, 0, 0, 0.000424953, 1.7086e-05, 0.000445419, 
2.657e-06, 0, 0, 0, 0.000364596, 2.566e-06, 0.000370118, 
1.911e-06, 0, 0, 0, 0.000265596, 1.397e-06, 0.000269229, 
2.974e-06, 0, 0, 0, 0.000383153, 2.305e-06, 0.000388718, 
2.833e-06, 0, 0, 0, 0.000278259, 2.04e-06, 0.000283428, 
2.323e-06, 0.00544269, 0, 0, 0.000373651, 2.384e-06, 0.000378634, 
1.6677e-05, 0, 0, 0, 0.000273881, 1.692e-06, 0.000292467, 
2.295e-06, 0, 0, 0, 0.000464024, 2.976e-06, 0.000469651, 
5.08e-06, 0, 0, 0, 0.000534587, 1.9169e-05, 0.000559398, 
3.832e-06, 0, 0, 0, 0.000642574, 2.319e-06, 0.000649151, 
3.609e-06, 0, 0, 0, 0.00048122, 2.6e-06, 0.000487816, 
2.989e-06, 0, 0, 0, 0.000312322, 1.856e-06, 0.000317431, 
2.389e-06, 0, 0, 0, 0.000392147, 1.97e-06, 0.000396902, 
2.951e-06, 0, 0, 0, 0.000370838, 2.646e-06, 0.000376747, 
1.914e-06, 0, 0, 0, 0.000337403, 2.594e-06, 0.000342255, 
1.334e-06, 0, 0, 0, 0.000267436, 1.654e-06, 0.000270604, 
1.1011e-05, 0, 0, 0, 0.0002875, 1.7109e-05, 0.0003158, 
3.211e-06, 0.017162, 0, 0, 0.000490008, 1.726e-06, 0.000495332, 
5.326e-06, 0, 0, 0, 0.000906807, 4.464e-06, 0.00091726, 
3.435e-06, 0, 0, 0, 0.000565963, 2.761e-06, 0.000572639, 
3.248e-06, 0, 0, 0, 0.00052839, 3.743e-06, 0.000535919, 
2.529e-06, 0, 0, 0, 0.000662914, 1.942e-06, 0.000667711, 
1.998e-06, 0, 0, 0, 0.000355078, 1.325e-05, 0.000370677, 
3.298e-06, 0, 0, 0, 0.000375217, 2.759e-06, 0.000381603, 
1.89e-06, 0, 0, 0, 0.000271462, 1.454e-06, 0.000275038, 
2.06e-06, 0.00598831, 0, 0, 0.000259815, 1.563e-06, 0.000263631, 
7.727e-06, 0, 0, 0, 0.000327205, 1.1612e-05, 0.000346752, 
2.71e-06, 0, 0, 0, 0.000318345, 2.132e-06, 0.000323473, 
4.063e-06, 0, 0, 0, 0.000536038, 1.0394e-05, 0.000551082, 
2.717e-06, 0, 0, 0, 0.000511675, 2.535e-06, 0.000517242, 
4.759e-06, 0, 0, 0, 0.000437417, 2.807e-06, 0.000445308, 
2.05e-06, 0, 0, 0, 0.000261063, 1.976e-06, 0.000265375, 
2.58e-06, 0, 0, 0, 0.000381266, 2.522e-06, 0.000386772, 
3.136e-06, 0, 0, 0, 0.000471315, 1.6819e-05, 0.000491673, 
2.616e-06, 0, 0, 0, 0.000382512, 3.428e-06, 0.000389129, 
